"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"586","Web developers","Computer, Engineering, and Science","Computer and mathematical",145465,97577,47888,32.9,61023,65007,53650,82.5295737382128,2020-06-01
"587","Computer support specialists","Computer, Engineering, and Science","Computer and mathematical",470915,349868,121047,25.7,52551,53807,50956,94.7014328990652,2020-06-01
"588","Database administrators","Computer, Engineering, and Science","Computer and mathematical",102296,65627,36669,35.8,77455,86854,56890,65.5007253551938,2020-06-01
"589","Network and computer systems administrators","Computer, Engineering, and Science","Computer and mathematical",183110,150346,32764,17.9,69647,70533,64094,90.8709398437611,2020-06-01
"590","Computer network architects","Computer, Engineering, and Science","Computer and mathematical",97510,88248,9262,9.5,92623,94255,86560,91.8359768712535,2020-06-01
"591","Computer , all other","Computer, Engineering, and Science","Computer and mathematical",476615,368819,107796,22.6,68159,68787,67019,97.4297468998503,2020-06-01
"592","Actuaries","Computer, Engineering, and Science","Computer and mathematical",26071,16914,9157,35.1,101355,105153,100158,95.2497788936122,2020-06-01
"593","Mathematicians","Computer, Engineering, and Science","Computer and mathematical",2335,1760,575,24.6,108154,120660,55489,NA,2020-06-01
"594","Operations research analysts","Computer, Engineering, and Science","Computer and mathematical",122903,66552,56351,45.8,77416,82373,71696,87.0382285457614,2020-06-01
"595","Statisticians","Computer, Engineering, and Science","Computer and mathematical",32115,17054,15061,46.9,83461,87419,80913,92.5576819684508,2020-06-01
"596","Miscellaneous mathematical science","Computer, Engineering, and Science","Computer and mathematical",2993,1652,1341,44.8,71689,75217,67183,NA,2020-06-01
"597","Architects, except naval","Computer, Engineering, and Science","Architecture and Engineering",141773,109020,32753,23.1,74630,79542,63215,79.473737145156,2020-06-01
"598","Surveyors, cartographers, and photogrammetrists","Computer, Engineering, and Science","Architecture and Engineering",30688,25077,5611,18.3,57018,57296,54594,NA,2020-06-01
"599","Aerospace engineers","Computer, Engineering, and Science","Architecture and Engineering",108106,94450,13656,12.6,100551,101474,85045,83.8096458206043,2020-06-01
"600","Agricultural engineers","Computer, Engineering, and Science","Architecture and Engineering",2275,2129,146,6.4,77830,77894,77703,NA,2020-06-01
"601","Biomedical engineers","Computer, Engineering, and Science","Architecture and Engineering",12151,10045,2106,17.3,85212,90275,74343,NA,2020-06-01
"602","Chemical engineers","Computer, Engineering, and Science","Architecture and Engineering",50207,42425,7782,15.5,98259,100275,87309,87.0695587135378,2020-06-01
"603","Civil engineers","Computer, Engineering, and Science","Architecture and Engineering",263869,231947,31922,12.1,81639,82405,72899,88.4642922152782,2020-06-01
"604","Computer hardware engineers","Computer, Engineering, and Science","Architecture and Engineering",48738,40015,8723,17.9,92845,98302,85309,86.7825680047201,2020-06-01
"605","Electrical and electronics engineers","Computer, Engineering, and Science","Architecture and Engineering",189028,172016,17012,9,92224,93711,82691,88.2404413569378,2020-06-01
"606","Environmental engineers","Computer, Engineering, and Science","Architecture and Engineering",23435,17469,5966,25.5,83190,85840,80798,94.1262814538677,2020-06-01
"607","Industrial engineers, including health and safety","Computer, Engineering, and Science","Architecture and Engineering",160051,130663,29388,18.4,78029,79476,72469,91.1835019376919,2020-06-01
"608","Marine engineers and naval architects","Computer, Engineering, and Science","Architecture and Engineering",11931,10759,1172,9.8,79677,80931,62262,NA,2020-06-01
"609","Materials engineers","Computer, Engineering, and Science","Architecture and Engineering",29248,26574,2674,9.1,78907,79129,73533,NA,2020-06-01
"610","Mechanical engineers","Computer, Engineering, and Science","Architecture and Engineering",220593,204412,16181,7.3,80674,80890,76532,94.6124366423538,2020-06-01
"611","Mining and geological engineers, including mining safety engineers","Computer, Engineering, and Science","Architecture and Engineering",10735,9876,859,8,101450,101177,104954,NA,2020-06-01
"612","Nuclear engineers","Computer, Engineering, and Science","Architecture and Engineering",5689,5178,511,9,100588,100899,100345,NA,2020-06-01
"613","Petroleum engineers","Computer, Engineering, and Science","Architecture and Engineering",26436,24334,2102,8,119645,120198,108664,NA,2020-06-01
"614","Engineers, all other","Computer, Engineering, and Science","Architecture and Engineering",446166,389678,56488,12.7,90963,91811,80959,88.1800655694852,2020-06-01
"615","Drafters","Computer, Engineering, and Science","Architecture and Engineering",124795,102986,21809,17.5,51324,52440,43037,82.0690312738368,2020-06-01
"616","Engineering technicians, except drafters","Computer, Engineering, and Science","Architecture and Engineering",344546,284353,60193,17.5,52925,55961,41755,74.6144636443237,2020-06-01
"617","Surveying and mapping technicians","Computer, Engineering, and Science","Architecture and Engineering",56276,51499,4777,8.5,50838,51271,41269,NA,2020-06-01
"618","Agricultural and food scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",17148,11511,5637,32.9,63076,66204,56742,85.7078122167845,2020-06-01
"619","Biological scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",57529,29504,28025,48.7,62045,62296,61723,99.0801977655066,2020-06-01
"620","Conservation scientists and foresters","Computer, Engineering, and Science","Life, Physical, and Social Science",15754,12073,3681,23.4,56746,56925,55702,NA,2020-06-01
"621","Medical scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",114987,55413,59574,51.8,71874,79409,70170,88.3652986437305,2020-06-01
"622","Life scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",5315,3208,2107,39.6,76852,77448,75448,NA,2020-06-01
"623","Astronomers and physicists","Computer, Engineering, and Science","Life, Physical, and Social Science",8487,7212,1275,15,100557,100878,74550,NA,2020-06-01
"624","Atmospheric and space scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",8973,7438,1535,17.1,84118,84922,80803,NA,2020-06-01
"625","Chemists and materials scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",75390,48305,27085,35.9,68111,71203,64146,90.088900748564,2020-06-01
"626","Environmental scientists and geoscientists","Computer, Engineering, and Science","Life, Physical, and Social Science",61131,43304,17827,29.2,74949,80066,64967,81.1418080083931,2020-06-01
"627","Physical scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",171195,102042,69153,40.4,72973,81838,62530,76.4070480705785,2020-06-01
"628","Economists","Computer, Engineering, and Science","Life, Physical, and Social Science",19978,13224,6754,33.8,110548,120249,97869,81.388618616371,2020-06-01
"629","Survey researchers","Computer, Engineering, and Science","Life, Physical, and Social Science",947,338,609,64.3,47236,95694,45808,NA,2020-06-01
"630","Psychologists","Computer, Engineering, and Science","Life, Physical, and Social Science",115413,38825,76588,66.4,70415,82152,63914,77.7996883825105,2020-06-01
"631","Urban and regional planners","Computer, Engineering, and Science","Life, Physical, and Social Science",19217,11650,7567,39.4,71496,76563,58594,76.5304389848883,2020-06-01
"632","Miscellaneous social scientists and related workers, including sociologists","Computer, Engineering, and Science","Life, Physical, and Social Science",37644,18711,18933,50.3,53839,59402,49466,83.2732904616006,2020-06-01
"633","Agricultural and food science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",30884,20341,10543,34.1,45171,45592,43189,94.7293384804352,2020-06-01
"634","Biological technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",18297,10874,7423,40.6,47322,51206,43010,83.9940631957192,2020-06-01
"635","Chemical technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",59973,40817,19156,31.9,51100,55310,46166,83.4677273549087,2020-06-01
"636","Geological and petroleum technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",11704,9491,2213,18.9,61113,61552,58773,NA,2020-06-01
"637","Nuclear technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",3322,2899,423,12.7,81607,81518,120118,NA,2020-06-01
"638","Social science research assistants","Computer, Engineering, and Science","Life, Physical, and Social Science",1666,582,1084,65.1,41279,62318,33376,NA,2020-06-01
"639","Miscellaneous life, physical, and social science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",134477,73486,60991,45.4,42097,45391,40335,88.8612279967394,2020-06-01
"640","Counselors","Education, Legal, Community Service, Arts, and Media","Community and Social Service",499447,151784,347663,69.6,43086,42943,43144,100.468062315162,2020-06-01
"641","Social workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",662207,133598,528609,79.8,42403,44262,42201,95.3436356242375,2020-06-01
"642","Probation officers and correctional treatment specialists","Education, Legal, Community Service, Arts, and Media","Community and Social Service",85020,38805,46215,54.4,47695,48441,46867,96.7506864020148,2020-06-01
"643","Social and human service assistants","Education, Legal, Community Service, Arts, and Media","Community and Social Service",132261,29857,102404,77.4,35827,39091,35331,90.3814177176332,2020-06-01
"644","Miscellaneous community and social service specialists, including health educators and community health workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",72471,25385,47086,65,40924,45046,39779,88.3075078808329,2020-06-01
"645","Clergy","Education, Legal, Community Service, Arts, and Media","Community and Social Service",334788,281877,52911,15.8,43671,45100,39185,86.8847006651885,2020-06-01
"646","Directors, religious activities and education","Education, Legal, Community Service, Arts, and Media","Community and Social Service",45159,21875,23284,51.6,41937,46639,40026,85.8208795214306,2020-06-01
"647","Religious workers, all other","Education, Legal, Community Service, Arts, and Media","Community and Social Service",41141,18925,22216,54,35801,36993,35353,95.5667288405915,2020-06-01
"648","Lawyers","Education, Legal, Community Service, Arts, and Media","Legal",861223,575443,285780,33.2,120885,130819,101219,77.3733173315803,2020-06-01
"649","Judicial law clerks","Education, Legal, Community Service, Arts, and Media","Legal",11531,3470,8061,69.9,61117,61812,60639,NA,2020-06-01
"650","Judges, magistrates, and other judicial workers","Education, Legal, Community Service, Arts, and Media","Legal",54753,30616,24137,44.1,96222,111928,80325,71.7648845686513,2020-06-01
"651","Paralegals and legal assistants","Education, Legal, Community Service, Arts, and Media","Legal",306773,43126,263647,85.9,46642,49289,46319,93.9743147558279,2020-06-01
"652","Miscellaneous legal support workers","Education, Legal, Community Service, Arts, and Media","Legal",129802,35187,94615,72.9,50929,64394,47439,73.669907134205,2020-06-01
"653","Postsecondary teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",848073,446709,401364,47.3,65698,71982,60502,84.0515684476674,2020-06-01
"654","Preschool and kindergarten teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",332062,8003,324059,97.6,24489,28156,24377,86.5783491973292,2020-06-01
"655","Elementary and middle school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",2315762,515461,1800301,77.7,49832,52275,48594,92.9583931133429,2020-06-01
"656","Secondary school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",535253,231738,303515,56.7,51547,53429,50548,94.6077972636583,2020-06-01
"657","Special education teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",172214,24672,147542,85.7,46416,49768,45952,92.3324224401222,2020-06-01
"658","Other teachers and instructors","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",362242,170986,191256,52.8,45216,52063,38612,74.1639936231105,2020-06-01
"659","Archivists, curators, and museum technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",30249,12270,17979,59.4,49160,56860,45282,79.6377066479071,2020-06-01
"660","Librarians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",114109,20872,93237,81.7,49697,52528,48589,92.501142247944,2020-06-01
"661","Library technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",12623,3237,9386,74.4,31038,36862,28121,NA,2020-06-01
"662","Teacher assistants","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",411405,57182,354223,86.1,21634,28311,20985,74.1231323513828,2020-06-01
"663","Other education, training, and library workers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",77839,22421,55418,71.2,52058,57321,50771,88.5731232881492,2020-06-01
"664","Artists and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",114321,73161,41160,36,46646,51814,40191,77.5678388080442,2020-06-01
"665","Designers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",574431,304311,270120,47,50005,55533,42444,76.4302306736535,2020-06-01
"666","Actors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",10606,6414,4192,39.5,41569,46615,38251,NA,2020-06-01
"667","Producers and directors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",109665,69950,39715,36.2,63063,64642,61825,95.6421521611336,2020-06-01
"668","Athletes, coaches, umpires, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",123608,93262,30346,24.6,42873,46140,38242,82.8825314260945,2020-06-01
"669","Dancers and choreographers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",8058,1753,6305,78.2,30666,36905,27268,NA,2020-06-01
"670","Musicians, singers, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",64044,49552,14492,22.6,43538,42472,45683,107.560275004709,2020-06-01
